True [1287.704041720992, 80000000000.0]
True [702.0847457627126, 80000000000.0]
True [1612.0117340286847, 40000000000.0]
False [1685.5501955671464, -20000000000.0]
True [311.00782268578905, 220000000000.0]
True [300.4693611473275, 180000000000.0]
False [-23.838331160365097, 100000000000.0]
True [436.0117340286836, 80000000000.0]
True [368.24250325945275, 40000000000.0]
True [116.47327249022172, 20000000000.0]
False [43.93481095176012, -20000000000.0]
True [1269.627118644069, 240000000000.0]
True [1220.9348109517612, 180000000000.0]
True [1283.9348109517614, 220000000000.0]
True [1721.7040417209926, 40000000000.0]
True [1402.1655801825307, 40000000000.0]
True [744.0078226857895, 40000000000.0]
False [1727.4732724902233, -20000000000.0]
True [1011.0886571056071, 40000000000.0]
True [101.16166883963501, 40000000000.0]
False [686.7809647979145, 0.0]
False [1084.6271186440688, -80000000000.0]
False [658.1616688396356, 0.0]
False [9.546284224250318, -20000000000.0]
False [987.238591916559, -40000000000.0]
True [1271.627118644069, 300000000000.0]
True [959.6271186440687, 140000000000.0]
True [1294.4732724902228, 100000000000.0]
False [1704.6271186440695, -20000000000.0]
False [1636.8578878748385, -20000000000.0]
False [1385.0886571056076, -60000000000.0]
False [1312.550195567146, -140000000000.0]
True [1180.6205997392433, 220000000000.0]
True [873.0052151238588, 240000000000.0]
True [651.6975228161665, 200000000000.0]
True [697.3641894828332, 200000000000.0]
True [934.7231638418074, 200000000000.0]
True [936.2359843546279, 160000000000.0]
True [1111.8770099956537, 220000000000.0]
True [908.9769665362882, 80000000000.0]
True [513.1847023033461, 80000000000.0]
True [1459.6462407648842, 40000000000.0]
False [1447.5949587136022, -20000000000.0]
True [246.21034332898728, 220000000000.0]
True [490.9513255106473, 180000000000.0]
False [-50.0230334637114, 100000000000.0]
True [543.8000869187307, 40000000000.0]
True [70.56931768796173, 20000000000.0]
False [2.825727944372023, -20000000000.0]
True [859.9539330725767, 240000000000.0]
True [1151.5180356366793, 220000000000.0]
True [1171.5949587136022, 180000000000.0]
True [1192.6718817905253, 160000000000.0]
True [1017.0308561494998, 40000000000.0]
True [1218.261625380269, 180000000000.0]
False [1478.2103433289867, -20000000000.0]
True [552.7388092133858, 80000000000.0]
True [436.0117340286836, 80000000000.0]
True [368.24250325945275, 40000000000.0]
True [116.47327249022172, 20000000000.0]
False [43.93481095176012, -20000000000.0]
True [513.1847023033461, 80000000000.0]
True [543.8000869187307, 40000000000.0]
True [70.56931768796173, 20000000000.0]
False [2.825727944372023, -20000000000.0]
True [140.71925249891345, 80000000000.0]
True [294.1551499348109, 40000000000.0]
True [346.05258583224673, 40000000000.0]
True [194.87309865275958, 20000000000.0]
True [9.847457627118645, 20000000000.0]
True [-143.58843980877873, -20000000000.0]
True [-162.4615384615384, -20000000000.0]
False [3.078226857887879, -40000000000.0]
